year,label,data
2018,South Georgia and the South Sandwich Islands,0.0
2018,South Sudan,2.03
2018,Spain,0.71
2018,Sri Lanka,2.41
2018,State of Palestine,0.0
2018,Sudan,7.05
2018,Suriname,0.17
2018,Svalbard and Jan Mayen Islands,0.0
2018,Sweden,0.0
2018,Switzerland,0.18
2018,Syrian Arab Republic,6.12
2018,Taiwan,0.0
2018,Tajikistan,0.35
2018,Thailand,6.7
2018,Timor-Leste,0.34
2018,Togo,0.54
2018,Tokelau,0.0
2018,Tonga,0.49
2018,Trinidad and Tobago,1.84
2018,Tunisia,1.65
2018,Turkmenistan,1.43
2018,Turks and Caicos Islands,0.0
2018,Tuvalu,1.83
2018,Türkiye,5.1
2018,Uganda,1.46
2018,Ukraine,0.57
2018,United Arab Emirates,10.0
2018,United Kingdom of Great Britain and Northern Ireland,1.06
2018,United Republic of Tanzania,1.43
2018,United States Virgin Islands,0.0
2018,United States of America,2.89
2018,Uruguay,0.69
2018,Uzbekistan,0.9
2018,Vanuatu,2.83
2018,Venezuela (Bolivarian Republic of),7.39
2018,Viet Nam,8.28
2018,Western Sahara,0.0
2018,Yemen,1.08
2018,Zambia,2.21
2018,Zimbabwe,5.92
2018,Åland Islands,0.0
2019,Afghanistan,4.57
2019,Albania,0.72
2019,Algeria,2.48
2019,American Samoa,0.0
2019,Andorra,0.0
2019,Angola,2.27
2019,Anguilla,0.0
2019,Antarctica,0.0
2019,Antigua and Barbuda,0.72
2019,Argentina,2.71
2019,Armenia,1.4
2019,Aruba,0.0
2019,Australia,0.69
2019,Austria,0.0
2019,Azerbaijan,0.54
2019,Bahamas,2.51
2019,Bahrain,3.83
2019,Bangladesh,7.85
2019,Barbados,0.54
2019,Belarus,6.61
2019,Belgium,0.51
2019,Belize,0.53
2019,Benin,0.87
2019,Bermuda,0.0
2019,Bhutan,0.0
2019,Bolivia (Plurinational State of),2.94
2019,"Bonaire, Sint Eustatius and Saba",0.0
2019,Bosnia and Herzegovina,0.89
2019,Botswana,2.91
2019,Bouvet Island,0.0
2019,Brazil,2.12
2019,British Virgin Islands,0.0
2019,Brunei Darussalam,2.58
2019,Bulgaria,0.89
2019,Burkina Faso,0.69
2019,Burundi,2.67
2019,Cabo Verde,0.32
2019,Cambodia,4.58
2019,Cameroon,2.24
2019,Canada,1.07
2019,Cayman Islands,0.0
2019,Central African Republic,1.61
2019,Chad,0.7
2019,Chile,2.68
2019,China,9.12
2019,"China, Hong Kong Special Administrative Region",0.0
2019,"China, Macao Special Administrative Region",0.0
2019,Christmas Island,0.0
2019,Cocos (Keeling) Islands,0.0
2019,Colombia,5.02
2019,Comoros,1.35
2019,Congo,0.5
2019,Cook Islands,0.83
2019,Costa Rica,1.4
2019,Croatia,1.12
2019,Cuba,1.35
2019,Curaçao,0.0
2019,Cyprus,0.0
2019,Czechia,0.18
2019,Côte d’Ivoire,0.72
2019,Democratic People's Republic of Korea,0.0
2019,Democratic Republic of the Congo,3.16
2019,Denmark,0.19
2019,Djibouti,6.17
2019,Dominica,0.17
2019,Dominican Republic,1.63
2019,Ecuador,4.6
2019,Egypt,6.08
2019,El Salvador,4.61
2019,Equatorial Guinea,4.62
2019,Eritrea,1.11
2019,Estonia,0.15
2019,Eswatini,0.75
2019,Ethiopia,2.01
2019,Falkland Islands (Malvinas),0.0
2019,Faroe Islands,0.0
2019,Fiji,5.52
2019,Finland,0.0
2019,France,0.0
2019,French Guiana,0.0
2019,French Polynesia,0.0
2019,French Southern Territories,0.0
2019,Gabon,0.15
2019,Gambia,1.64
2019,Georgia,0.86
2019,Germany,0.38
2019,Ghana,1.62
2019,Gibraltar,0.0
2019,Greece,0.85
2019,Greenland,0.0
2019,Grenada,0.71
2019,Guadeloupe,0.0
2019,Guam,0.0
2019,Guatemala,5.39
2019,Guernsey,0.0
2019,Guinea,0.67
2019,Guinea-Bissau,2.83
2019,Guyana,0.53
2019,Haiti,1.62
2019,Heard Island and McDonald Islands,0.0
2019,Holy See,0.0
2019,Honduras,4.34
2019,Hungary,0.72
2019,Iceland,0.0
2019,India,3.69
2019,Indonesia,2.65
2019,Iran (Islamic Republic of),9.25
2019,Iraq,5.23
2019,Ireland,0.0
2019,Isle of Man,0.0
2019,Israel,0.0
2019,Italy,0.0
2019,Jamaica,1.23
2019,Japan,1.11
2019,Jersey,0.0
2019,Jordan,2.91
2019,Kazakhstan,1.63
2019,Kenya,4.0
2019,Kiribati,1.23
2019,Kuwait,2.51
2019,Kyrgyzstan,0.35
2019,Lao People's Democratic Republic,6.02
2019,Latvia,0.0
2019,Lebanon,4.16
2019,Lesotho,1.44
2019,Liberia,0.93
2019,Libya,6.49
2019,Liechtenstein,0.0
2019,Lithuania,0.18
2019,Luxembourg,0.19
2019,Madagascar,1.65
2019,Malawi,0.37
2019,Malaysia,7.69
2019,Maldives,3.85
2019,Mali,0.88
2019,Malta,1.83
2019,Marshall Islands,1.55
2019,Martinique,0.0
2019,Mauritania,1.63
2019,Mauritius,1.78
2019,Mayotte,0.0
2019,Mexico,2.49
2019,Micronesia (Federated States of),0.0
2019,Monaco,0.0
2019,Mongolia,0.15
2019,Montenegro,1.4
2019,Montserrat,0.0
2019,Morocco,2.44
2019,Mozambique,2.01
2019,Myanmar,2.18
2019,Namibia,0.73
2019,Nauru,0.0
2019,Nepal,3.78
2019,Netherlands (Kingdom of the),0.38
2019,New Caledonia,0.0
2019,New Zealand,1.43
2019,Nicaragua,0.36
2019,Niger,1.3
2019,Nigeria,2.9
2019,Niue,0.0
2019,Norfolk Island,0.0
2019,North Macedonia,0.52
2019,Northern Mariana Islands,0.0
2019,Norway,0.0
2019,Oman,3.97
2019,Pakistan,4.99
2019,Palau,1.39
2019,Panama,4.67
2019,Papua New Guinea,1.1
2019,Paraguay,3.38
2019,Peru,4.2
2019,Philippines,4.16
2019,Pitcairn,0.0
2019,Poland,1.1
2019,Portugal,0.51
2019,Puerto Rico,0.0
2019,Qatar,8.56
2019,Republic of Korea,4.73
2019,Republic of Moldova,0.89
2019,Romania,1.95
2019,Russian Federation,2.37
2019,Rwanda,1.28
2019,Réunion,0.0
2019,Saint Barthélemy,0.0
2019,Saint Helena,0.0
2019,Saint Kitts and Nevis,0.68
2019,Saint Lucia,0.39
2019,Saint Martin (French Part),0.0
2019,Saint Pierre and Miquelon,0.0
2019,Saint Vincent and the Grenadines,1.03
2019,Samoa,1.52
2019,San Marino,0.0
2019,Sao Tome and Principe,1.34
2019,Saudi Arabia,6.64
2019,Senegal,1.65
2019,Serbia,1.41
2019,Seychelles,1.07
2019,Sierra Leone,0.75
2019,Singapore,2.87
2019,Sint Maarten (Dutch part),0.0
2019,Slovakia,0.0
2019,Slovenia,0.36
2019,Solomon Islands,2.73
2019,Somalia,0.0
2019,South Africa,0.98
2019,South Georgia and the South Sandwich Islands,0.0
2019,South Sudan,1.85
2019,Spain,0.71
2019,Sri Lanka,2.41
2019,State of Palestine,0.0
2019,Sudan,6.86
2019,Suriname,0.17
2019,Svalbard and Jan Mayen Islands,0.0
2019,Sweden,0.0
2019,Switzerland,0.18
2019,Syrian Arab Republic,6.12
2019,Taiwan,0.0
2019,Tajikistan,0.35
2019,Thailand,6.51
2019,Timor-Leste,0.34
2019,Togo,0.54
2019,Tokelau,0.0
2019,Tonga,0.49
2019,Trinidad and Tobago,1.84
2019,Tunisia,1.65
2019,Turkmenistan,1.43
2019,Turks and Caicos Islands,0.0
2019,Tuvalu,1.24
2019,Türkiye,3.66
2019,Uganda,1.26
2019,Ukraine,0.57
2019,United Arab Emirates,10.0
2019,United Kingdom of Great Britain and Northern Ireland,1.06
2019,United Republic of Tanzania,1.43
2019,United States Virgin Islands,0.0
2019,United States of America,3.08
2019,Uruguay,0.69
2019,Uzbekistan,0.9
2019,Vanuatu,2.83
2019,Venezuela (Bolivarian Republic of),9.13
2019,Viet Nam,8.28
2019,Western Sahara,0.0
2019,Yemen,1.08
2019,Zambia,2.21
2019,Zimbabwe,4.42
2019,Åland Islands,0.0
2020,Afghanistan,4.55
2020,Albania,0.72
2020,Algeria,2.48
2020,American Samoa,0.0
2020,Andorra,0.0
2020,Angola,2.27
2020,Anguilla,0.0
2020,Antarctica,0.0
2020,Antigua and Barbuda,0.72
2020,Argentina,2.88
2020,Armenia,1.4
2020,Aruba,0.0
2020,Australia,0.69
2020,Austria,0.0
2020,Azerbaijan,0.54
2020,Bahamas,2.51
2020,Bahrain,3.83
2020,Bangladesh,7.46
2020,Barbados,0.54
2020,Belarus,7.76
2020,Belgium,0.51
2020,Belize,0.53
2020,Benin,0.87
2020,Bermuda,0.0
2020,Bhutan,0.0
2020,Bolivia (Plurinational State of),2.94
2020,"Bonaire, Sint Eustatius and Saba",0.0
2020,Bosnia and Herzegovina,0.89
2020,Botswana,2.91
2020,Bouvet Island,0.0
2020,Brazil,2.12
2020,British Virgin Islands,0.0
2020,Brunei Darussalam,2.58
2020,Bulgaria,0.89
2020,Burkina Faso,0.69
2020,Burundi,2.67
2020,Cabo Verde,0.32
2020,Cambodia,4.54
2020,Cameroon,1.83
2020,Canada,1.07
2020,Cayman Islands,0.0
2020,Central African Republic,1.61
2020,Chad,0.7
2020,Chile,2.68
2020,China,9.31
2020,"China, Hong Kong Special Administrative Region",0.0
2020,"China, Macao Special Administrative Region",0.0
2020,Christmas Island,0.0
2020,Cocos (Keeling) Islands,0.0
2020,Colombia,5.02
2020,Comoros,1.35
2020,Congo,0.5
2020,Cook Islands,0.83
2020,Costa Rica,1.91
2020,Croatia,1.12
2020,Cuba,1.35
2020,Curaçao,0.0
2020,Cyprus,0.0
2020,Czechia,0.18
2020,Côte d’Ivoire,0.72
2020,Democratic People's Republic of Korea,0.0
2020,Democratic Republic of the Congo,3.16
2020,Denmark,0.19
2020,Djibouti,6.17
2020,Dominica,0.17
2020,Dominican Republic,1.45
2020,Ecuador,4.6
2020,Egypt,6.08
2020,El Salvador,4.42
2020,Equatorial Guinea,4.62
2020,Eritrea,1.11
2020,Estonia,0.15
2020,Eswatini,0.75
2020,Ethiopia,2.01
2020,Falkland Islands (Malvinas),0.0
2020,Faroe Islands,0.0
2020,Fiji,5.73
2020,Finland,0.0
2020,France,0.68
2020,French Guiana,0.0
2020,French Polynesia,0.0
2020,French Southern Territories,0.0
2020,Gabon,0.15
2020,Gambia,1.64
2020,Georgia,0.86
2020,Germany,0.38
2020,Ghana,1.62
2020,Gibraltar,0.0
2020,Greece,0.85
2020,Greenland,0.0
2020,Grenada,0.71
2020,Guadeloupe,0.0
2020,Guam,0.0
2020,Guatemala,5.38
2020,Guernsey,0.0
2020,Guinea,0.67
2020,Guinea-Bissau,2.83
2020,Guyana,0.53
2020,Haiti,1.62
2020,Heard Island and McDonald Islands,0.0
2020,Holy See,0.0
2020,Honduras,4.34
2020,Hungary,0.72
2020,Iceland,0.0
2020,India,3.32
2020,Indonesia,1.7
2020,Iran (Islamic Republic of),9.6
2020,Iraq,5.23
2020,Ireland,0.0
2020,Isle of Man,0.0
2020,Israel,0.0
2020,Italy,0.0
2020,Jamaica,1.23
2020,Japan,1.11
2020,Jersey,0.0
2020,Jordan,2.91
2020,Kazakhstan,2.27
2020,Kenya,4.0
2020,Kiribati,1.23
2020,Kuwait,2.51
2020,Kyrgyzstan,0.35
2020,Lao People's Democratic Republic,6.02
2020,Latvia,0.0
2020,Lebanon,4.16
2020,Lesotho,1.44
2020,Liberia,0.93
2020,Libya,6.49
2020,Liechtenstein,0.0
2020,Lithuania,0.18
2020,Luxembourg,0.19
2020,Madagascar,1.65
2020,Malawi,0.37
2020,Malaysia,6.95
2020,Maldives,3.85
2020,Mali,0.88
2020,Malta,1.83
2020,Marshall Islands,1.55
2020,Martinique,0.0
2020,Mauritania,1.63
2020,Mauritius,1.78
2020,Mayotte,0.0
2020,Mexico,2.49
2020,Micronesia (Federated States of),0.0
2020,Monaco,0.0
2020,Mongolia,0.15
2020,Montenegro,1.21
2020,Montserrat,0.0
2020,Morocco,2.44
2020,Mozambique,1.83
2020,Myanmar,2.21
2020,Namibia,0.73
2020,Nauru,0.0
2020,Nepal,3.78
2020,Netherlands (Kingdom of the),0.38
2020,New Caledonia,0.0
2020,New Zealand,1.43
2020,Nicaragua,0.36
2020,Niger,1.3
2020,Nigeria,2.9
2020,Niue,0.0
2020,Norfolk Island,0.0
2020,North Macedonia,0.52
2020,Northern Mariana Islands,0.0
2020,Norway,0.0
2020,Oman,3.97
2020,Pakistan,4.64
2020,Palau,1.39
2020,Panama,4.5
2020,Papua New Guinea,1.1
2020,Paraguay,3.22
2020,Peru,4.2
2020,Philippines,3.97
2020,Pitcairn,0.0
2020,Poland,1.1
2020,Portugal,0.51
2020,Puerto Rico,0.0
2020,Qatar,8.56
2020,Republic of Korea,4.73
2020,Republic of Moldova,0.89
2020,Romania,1.95
2020,Russian Federation,2.37
2020,Rwanda,1.28
2020,Réunion,0.0
2020,Saint Barthélemy,0.0
2020,Saint Helena,0.0
2020,Saint Kitts and Nevis,0.68
2020,Saint Lucia,0.39
2020,Saint Martin (French Part),0.0
2020,Saint Pierre and Miquelon,0.0
2020,Saint Vincent and the Grenadines,1.03
2020,Samoa,1.52
2020,San Marino,0.0
2020,Sao Tome and Principe,1.16
2020,Saudi Arabia,6.64
2020,Senegal,1.65
2020,Serbia,1.41
2020,Seychelles,1.07
2020,Sierra Leone,0.75
2020,Singapore,2.87
2020,Sint Maarten (Dutch part),0.0
2020,Slovakia,0.0
2020,Slovenia,0.36
2020,Solomon Islands,2.73
2020,Somalia,0.0
2020,South Africa,0.98
2020,South Georgia and the South Sandwich Islands,0.0
2020,South Sudan,2.03
2020,Spain,0.71
2020,Sri Lanka,2.41
2020,State of Palestine,0.0
2020,Sudan,6.86
2020,Suriname,0.17
2020,Svalbard and Jan Mayen Islands,0.0
2020,Sweden,0.0
2020,Switzerland,0.18
2020,Syrian Arab Republic,6.12
2020,Taiwan,0.0
2020,Tajikistan,0.35
2020,Thailand,6.7
2020,Timor-Leste,0.34
2020,Togo,0.54
2020,Tokelau,0.0
2020,Tonga,0.49
2020,Trinidad and Tobago,1.84
2020,Tunisia,1.65
2020,Turkmenistan,1.43
2020,Turks and Caicos Islands,0.0
2020,Tuvalu,1.42
2020,Türkiye,3.66
2020,Uganda,1.26
2020,Ukraine,0.94
2020,United Arab Emirates,10.0
2020,United Kingdom of Great Britain and Northern Ireland,1.06
2020,United Republic of Tanzania,1.43
2020,United States Virgin Islands,0.0
2020,United States of America,3.08
2020,Uruguay,0.69
2020,Uzbekistan,1.09
2020,Vanuatu,2.83
2020,Venezuela (Bolivarian Republic of),7.47
2020,Viet Nam,7.87
2020,Western Sahara,0.0
2020,Yemen,1.08
2020,Zambia,2.21
2020,Zimbabwe,5.45
2020,Åland Islands,0.0
2021,Afghanistan,4.76
2021,Albania,0.72
2021,Algeria,2.07
2021,American Samoa,0.0
2021,Andorra,0.0
2021,Angola,2.27
2021,Anguilla,0.0
2021,Antarctica,0.0
2021,Antigua and Barbuda,0.72
2021,Argentina,2.71
2021,Armenia,1.4
2021,Aruba,0.0
2021,Australia,0.69
2021,Austria,0.0
2021,Azerbaijan,0.54
2021,Bahamas,2.51
2021,Bahrain,3.83
2021,Bangladesh,7.46
2021,Barbados,0.54
2021,Belarus,7.76
2021,Belgium,0.51
2021,Belize,0.53
2021,Benin,0.87
2021,Bermuda,0.0
2021,Bhutan,0.0
2021,Bolivia (Plurinational State of),2.94
2021,"Bonaire, Sint Eustatius and Saba",0.0
2021,Bosnia and Herzegovina,0.89
2021,Botswana,2.91
2021,Bouvet Island,0.0
2021,Brazil,2.31
2021,British Virgin Islands,0.0
2021,Brunei Darussalam,2.58
2021,Bulgaria,0.89
2021,Burkina Faso,0.69
2021,Burundi,2.67
2021,Cabo Verde,0.32
2021,Cambodia,5.49
2021,Cameroon,1.83
2021,Canada,1.07
2021,Cayman Islands,0.0
2021,Central African Republic,1.61
2021,Chad,0.7
2021,Chile,2.68
2021,China,9.11
2021,"China, Hong Kong Special Administrative Region",0.0
2021,"China, Macao Special Administrative Region",0.0
2021,Christmas Island,0.0
2021,Cocos (Keeling) Islands,0.0
2021,Colombia,5.2
2021,Comoros,1.35
2021,Congo,0.5
2021,Cook Islands,0.83
2021,Costa Rica,1.91
2021,Croatia,1.12
2021,Cuba,1.35
2021,Curaçao,0.0
2021,Cyprus,0.0
2021,Czechia,0.18
2021,Côte d’Ivoire,0.72
2021,Democratic People's Republic of Korea,0.0
2021,Democratic Republic of the Congo,3.16
2021,Denmark,0.19
2021,Djibouti,5.79
2021,Dominica,0.17
2021,Dominican Republic,1.45
2021,Ecuador,5.32
2021,Egypt,6.08
2021,El Salvador,5.3
2021,Equatorial Guinea,4.62
2021,Eritrea,1.11
2021,Estonia,0.15
2021,Eswatini,0.75
2021,Ethiopia,2.01
2021,Falkland Islands (Malvinas),0.0
2021,Faroe Islands,0.0
2021,Fiji,5.73
2021,Finland,0.0
2021,France,0.5
2021,French Guiana,0.0
2021,French Polynesia,0.0
2021,French Southern Territories,0.0
2021,Gabon,0.15
2021,Gambia,1.64
2021,Georgia,0.15
2021,Germany,0.38
2021,Ghana,1.81
2021,Gibraltar,0.0
2021,Greece,0.85
2021,Greenland,0.0
2021,Grenada,0.54
2021,Guadeloupe,0.0
2021,Guam,0.0
2021,Guatemala,6.15
2021,Guernsey,0.0
2021,Guinea,0.67
2021,Guinea-Bissau,3.01
2021,Guyana,0.53
2021,Haiti,1.62
2021,Heard Island and McDonald Islands,0.0
2021,Holy See,0.0
2021,Honduras,3.91
2021,Hungary,1.41
2021,Iceland,0.0
2021,India,3.32
2021,Indonesia,1.51
2021,Iran (Islamic Republic of),10.0
2021,Iraq,5.24
2021,Ireland,0.0
2021,Isle of Man,0.0
2021,Israel,0.0
2021,Italy,0.0
2021,Jamaica,1.23
2021,Japan,1.11
2021,Jersey,0.0
2021,Jordan,3.49
2021,Kazakhstan,3.89
2021,Kenya,4.0
2021,Kiribati,1.23
2021,Kuwait,2.71
2021,Kyrgyzstan,0.51
2021,Lao People's Democratic Republic,6.02
2021,Latvia,0.0
2021,Lebanon,4.17
2021,Lesotho,2.23
2021,Liberia,1.92
2021,Libya,6.49
2021,Liechtenstein,0.0
2021,Lithuania,0.0
2021,Luxembourg,0.19
2021,Madagascar,1.65
2021,Malawi,0.37
2021,Malaysia,6.95
2021,Maldives,4.21
2021,Mali,0.88
2021,Malta,1.48
2021,Marshall Islands,1.55
2021,Martinique,0.0
2021,Mauritania,1.63
2021,Mauritius,1.62
2021,Mayotte,0.0
2021,Mexico,2.66
2021,Micronesia (Federated States of),0.0
2021,Monaco,0.0
2021,Mongolia,0.15
2021,Montenegro,1.23
2021,Montserrat,0.0
2021,Morocco,2.44
2021,Mozambique,2.0
2021,Myanmar,5.11
2021,Namibia,0.53
2021,Nauru,0.0
2021,Nepal,3.78
2021,Netherlands (Kingdom of the),0.38
2021,New Caledonia,0.0
2021,New Zealand,1.1
2021,Nicaragua,1.68
2021,Niger,1.3
2021,Nigeria,3.08
2021,Niue,0.0
2021,Norfolk Island,0.0
2021,North Macedonia,0.52
2021,Northern Mariana Islands,0.0
2021,Norway,0.0
2021,Oman,3.97
2021,Pakistan,4.46
2021,Palau,1.39
2021,Panama,4.5
2021,Papua New Guinea,1.1
2021,Paraguay,3.22
2021,Peru,4.2
2021,Philippines,4.21
2021,Pitcairn,0.0
2021,Poland,1.1
2021,Portugal,0.51
2021,Puerto Rico,0.0
2021,Qatar,8.56
2021,Republic of Korea,4.55
2021,Republic of Moldova,0.89
2021,Romania,2.29
2021,Russian Federation,3.14
2021,Rwanda,1.28
2021,Réunion,0.0
2021,Saint Barthélemy,0.0
2021,Saint Helena,0.0
2021,Saint Kitts and Nevis,0.68
2021,Saint Lucia,0.39
2021,Saint Martin (French Part),0.0
2021,Saint Pierre and Miquelon,0.0
2021,Saint Vincent and the Grenadines,1.03
2021,Samoa,1.52
2021,San Marino,0.0
2021,Sao Tome and Principe,1.16
2021,Saudi Arabia,6.64
2021,Senegal,1.65
2021,Serbia,1.41
2021,Seychelles,1.07
2021,Sierra Leone,0.75
2021,Singapore,2.87
2021,Sint Maarten (Dutch part),0.0
2021,Slovakia,0.0
2021,Slovenia,0.36
2021,Solomon Islands,2.73
2021,Somalia,0.0
2021,South Africa,0.98
2021,South Georgia and the South Sandwich Islands,0.0
2021,South Sudan,2.03
2021,Spain,0.71
2021,Sri Lanka,2.56
2021,State of Palestine,0.0
2021,Sudan,6.45
2021,Suriname,0.17
2021,Svalbard and Jan Mayen Islands,0.0
2021,Sweden,0.0
2021,Switzerland,0.18
2021,Syrian Arab Republic,6.12
2021,Taiwan,0.0
2021,Tajikistan,0.35
2021,Thailand,6.7
2021,Timor-Leste,0.34
2021,Togo,0.54
2021,Tokelau,0.0
2021,Tonga,0.49
2021,Trinidad and Tobago,1.84
2021,Tunisia,1.65
2021,Turkmenistan,1.43
2021,Turks and Caicos Islands,0.0
2021,Tuvalu,1.24
2021,Türkiye,3.66
2021,Uganda,1.26
2021,Ukraine,0.94
2021,United Arab Emirates,10.0
2021,United Kingdom of Great Britain and Northern Ireland,1.06
2021,United Republic of Tanzania,1.43
2021,United States Virgin Islands,0.0
2021,United States of America,3.08
2021,Uruguay,0.69
2021,Uzbekistan,1.09
2021,Vanuatu,2.83
2021,Venezuela (Bolivarian Republic of),7.67
2021,Viet Nam,8.23
2021,Western Sahara,0.0
2021,Yemen,1.08
2021,Zambia,2.21
2021,Zimbabwe,6.0
2021,Åland Islands,0.0
2022,Afghanistan,4.76
2022,Albania,0.72
2022,Algeria,2.07
2022,American Samoa,0.0
2022,Andorra,0.0
2022,Angola,2.27
2022,Anguilla,0.0
2022,Antarctica,0.0
2022,Antigua and Barbuda,0.72
2022,Argentina,2.71
2022,Armenia,1.4
2022,Aruba,0.0
2022,Australia,0.69
2022,Austria,0.0
2022,Azerbaijan,0.54
2022,Bahamas,2.51
2022,Bahrain,3.83
2022,Bangladesh,7.46
2022,Barbados,0.54
2022,Belarus,7.76
2022,Belgium,0.51
2022,Belize,0.53
2022,Benin,0.87
2022,Bermuda,0.0
2022,Bhutan,0.0
2022,Bolivia (Plurinational State of),2.94
